slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
algo-surf-mainnet,,!offer:algo-surf,,mainnet,,,,,,,,,,,
algo-surf-testnet,,!offer:algo-surf,"[""[Explore](https://testnet.algo.surf/)""]",testnet,,,,,,,,,,,
algogazer-mainnet,,!offer:algogazer,,mainnet,,,,,,,,,,,
allo-mainnet,,!offer:allo,"[""[Explore](https://allo.info/)""]",mainnet,,,,,,,,,,,
lora-mainnet,,!offer:lora,"[""[Explore](https://lora.algokit.io/mainnet)""]",mainnet,,,,,,,,,,,
lora-testnet,,!offer:lora,"[""[Explore](https://lora.algokit.io/testnet)""]",testnet,,,,,,,,,,,
pera-mainnet,,!offer:pera,"[""[Explore](https://explorer.perawallet.app/)""]",mainnet,,,,,,,,,,,
pera-testnet,,!offer:pera,"[""[Explore](https://explorer.perawallet.app/)""]",testnet,,,,,,,,,,,
tokenterminal-explorer,,!offer:tokenterminal-explorer,"[""[Explore](https://tokenterminal.com/explorer/projects/algorand)""]",mainnet,,,,,,,,,,,
wormholescan-mainnet,,!offer:wormholescan,"[""[Explore](https://wormholescan.io/)""]",mainnet,,,,,,,,,,,
wormholescan-testnet,,!offer:wormholescan,"[""[Explore](https://wormholescan.io/?network=TESTNET)""]",testnet,,,,,,,,,,,
