slug,provider,offer,actionButtons,toolType,programmingLanguage,tag,description,planType,planName,price,trial,starred,dependencies,latestKnownVersion,latestKnownReleaseDate,maintainer,license
alchemy-sdk-free,,!offer:alchemy-sdk-free,,,,,,,,,,,,,,,
alchemy-sdk-pay-as-you-go,,!offer:alchemy-sdk-pay-as-you-go,,,,,,,,,,,,,,,
anyalt,,!offer:anyalt,,,,,,,,,,,,,,,
avacloud-sdk,Ava Labs,SDK,"[""[Website](https://developers.avacloud.io/avalanche-sdk/overview)""]",SDK,TypeScript,"[""Web3 development"",""Avalanche"",""AvaCloud API"",""SDK""]","It is a legacy TypeScript SDK for interacting with the AvaCloud API and enterprise services, which is currently migrating to ChainKit",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
avalanche-sdk-chainkit,,!offer:avalanche-sdk-chainkit,,,,,,,,,,,,,,,
avalanche-sdk-client,,!offer:avalanche-sdk-client,,,,,,,,,,,,,,,
avalanche-sdk-interchain,,!offer:avalanche-sdk-interchain,,,,,,,,,,,,,,,
avalanche-tooling-sdk-go,Ava Labs,SDK,"[""[NPM](https://www.npmjs.com/package/@avalanche-sdk/chainkit)""]",SDK,Go,"[""Golang SDK"",""Node provider"",""Subnet architecture""]","It is a Golang-based development kit utilized primarily for Avalanche node operations, network validators, and custom Subnet creation",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
avalanche-wallet-sdk,Ava Labs,SDK,"[""[NPM](https://www.npmjs.com/package/@avalanche-sdk/client)""]",SDK,TypeScript,"[""Wallet SDK"",""Crypto wallet integration"",""Avalanche""]","It is a dedicated library for creating, managing, and authenticating decentralized non-custodial wallets specifically on the Avalanche network",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
avalanchejs,Ava Labs,SDK,"[""[YARM](https://classic.yarnpkg.com/en/package/@avalanche-sdk/interchain)""]",SDK,TypeScript,"[""Web3 development"",""Blockchain framework"",""Avalanche""]","It is the classic Avalanche Platform JavaScript library for interfacing directly with the X-Chain, P-Chain, and C-Chain environments",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
blockdaemon-sdk-free,,!offer:blockdaemon-sdk-free,,,,,,,,,,,,,,,
blockdaemon-sdk-growth,,!offer:blockdaemon-sdk-growth,,,,,,,,,,,,,,,
blockdaemon-sdk-starter,,!offer:blockdaemon-sdk-starter,,,,,,,,,,,,,,,
brownie,,!offer:brownie,,,,,,,,,,,,,,,
chainbase-sdk-developer,,!offer:chainbase-sdk-developer,,,,,,,,,,,,,,,
chainbase-sdk-free,,!offer:chainbase-sdk-free,,,,,,,,,,,,,,,
connectkit,,!offer:connectkit,,,,,,,,,,,,,,,
dappkit,,!offer:dappkit,,,,,,,,,,,,,,,
dfns-sdk-basic,,!offer:dfns-sdk-basic,,,,,,,,,,,,,,,
dfns-sdk-pro,,!offer:dfns-sdk-pro,,,,,,,,,,,,,,,
dfns-sdk-starter,,!offer:dfns-sdk-starter,,,,,,,,,,,,,,,
dynamic-sdk-free,,!offer:dynamic-sdk-free,,,,,,,,,,,,,,,
dynamic-sdk-growth,,!offer:dynamic-sdk-growth,,,,,,,,,,,,,,,
eth-tx,,!offer:eth-tx,,,,,,,,,,,,,,,
ethers-js,,!offer:ethers-js,,,,,,,,,,,,,,,
etherspot,,!offer:etherspot,,,,,,,,,,,,,,,
foundry,,!offer:foundry,,,,,,,,,,,,,,,
fuzzlib,,!offer:fuzzlib,,,,,,,,,,,,,,,
halliday-sdk,,!offer:halliday-sdk,,,,,,,,,,,,,,,
hardhat,,!offer:hardhat,,,,,,,,,,,,,,,
huffmate,,!offer:huffmate,,,,,,,,,,,,,,,
magic,,!offer:magic,,,,,,,,,,,,,,,
open-zeppelin-test-helpers,,!offer:open-zeppelin-test-helpers,,,,,,,,,,,,,,,
openfort-sdk-growth,,!offer:openfort-sdk-growth,,,,,,,,,,,,,,,
openfort-sdk-pro,,!offer:openfort-sdk-pro,,,,,,,,,,,,,,,
openfort-sdk-scale,,!offer:openfort-sdk-scale,,,,,,,,,,,,,,,
openfort-sdk-starter,,!offer:openfort-sdk-starter,,,,,,,,,,,,,,,
openzeppelin,,!offer:openzeppelin,,,,,,,,,,,,,,,
pinata-sdk-fiesta,,!offer:pinata-sdk-fiesta,,,,,,,,,,,,,,,
pinata-sdk-free,,!offer:pinata-sdk-free,,,,,,,,,,,,,,,
pinata-sdk-picnic,,!offer:pinata-sdk-picnic,,,,,,,,,,,,,,,
prb-test,,!offer:prb-test,,,,,,,,,,,,,,,
quicknode-sdk-accelerate,,!offer:quicknode-sdk-accelerate,,,,,,,,,,,,,,,
quicknode-sdk-build,,!offer:quicknode-sdk-build,,,,,,,,,,,,,,,
quicknode-sdk-business,,!offer:quicknode-sdk-business,,,,,,,,,,,,,,,
quicknode-sdk-scale,,!offer:quicknode-sdk-scale,,,,,,,,,,,,,,,
rockx-sdk,,!offer:rockx-sdk,,,,,,,,,,,,,,,
safe-protocol-kit,,!offer:safe-protocol-kit,,,,,,,,,,,,,,,
swap-kit,,!offer:swap-kit,,,,,,,,,,,,,,,
tatum-sdk-free,,!offer:tatum-sdk-free,,,,,,,,,,,,,,,
tatum-sdk-pro,,!offer:tatum-sdk-pro,,,,,,,,,,,,,,,
tatum-sdk-scale,,!offer:tatum-sdk-scale,,,,,,,,,,,,,,,
tatum-sdk-starter,,!offer:tatum-sdk-starter,,,,,,,,,,,,,,,
turnkey-sdk-free,,!offer:turnkey-sdk-free,,,,,,,,,,,,,,,
turnkey-sdk-pro,,!offer:turnkey-sdk-pro,,,,,,,,,,,,,,,
uniswap-web3-react,,!offer:uniswap-web3-react,,,,,,,,,,,,,,,
vyper,,!offer:vyper,,,,,,,,,,,,,,,
wagmi,,!offer:wagmi,,,,,,,,,,,,,,,
wake,,!offer:wake,,,,,,,,,,,,,,,
walletkit-individual,,!offer:walletkit-individual,,,,,,,,,,,,,,,
walletkit-startup,,!offer:walletkit-startup,,,,,,,,,,,,,,,
web3-js,,!offer:web3-js,,,,,,,,,,,,,,,
web3-py,,!offer:web3-py,,,,,,,,,,,,,,,
web3auth-base,,!offer:web3auth-base,,,,,,,,,,,,,,,
