slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
1rpc-hoodi-developer-recent-state,,!offer:1rpc-developer-recent-state,,,,,,,hoodi,,,,,,,,,,,,,,,,,,,
1rpc-hoodi-personal-recent-state,,!offer:1rpc-personal-recent-state,,,,,,,hoodi,,,,,,,,,,,,,,,,,,,
1rpc-hoodi-public-recent-state,,!offer:1rpc-public-recent-state,,,,,,,hoodi,,,,,,,,,,,,,,,,,,,
1rpc-hoodi-starter-recent-state,,!offer:1rpc-starter-recent-state,,,,,,,hoodi,,,,,,,,,,,,,,,,,,,
1rpc-mainnet-developer-recent-state,,!offer:1rpc-developer-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
1rpc-mainnet-personal-recent-state,,!offer:1rpc-personal-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
1rpc-mainnet-public-recent-state,,!offer:1rpc-public-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
1rpc-mainnet-starter-recent-state,,!offer:1rpc-starter-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
alchemy-mainnet-free,,!offer:alchemy-free-recent-state,"[""[Website](https://www.alchemy.com/ethereum)"",""[Docs](https://www.alchemy.com/docs/ethereum)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
alchemy-mainnet-pay-as-you-go,,!offer:alchemy-pay-as-you-go-recent-state,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/ethereum)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
alchemy-sepolia-free,,!offer:alchemy-free-recent-state,"[""[Website](https://www.alchemy.com/ethereum)"",""[Docs](https://www.alchemy.com/docs/ethereum)""]",,,,,,sepolia,,,,,,,,,,,,,,,,,,,
alchemy-sepolia-pay-as-you-go,,!offer:alchemy-pay-as-you-go-recent-state,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/ethereum)""]",,,,,,sepolia,,,,,,,,,,,,,,,,,,,
allthatnode-mainnet-dedicated-full-archive,,!offer:allthatnode-dedicated-full-archive,"[""[Website](https://www.allthatnode.com/dedicatednode.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-2)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
