slug,provider,offer,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,starred,additionalNotes,dripLimitAmount,dripLimitPeriod,tag
alchemy-sepolia,,!offer:alchemy-faucet,"[""[Faucet](https://www.alchemy.com/faucets/ethereum-sepolia)""]",sepolia,,,,,,,0.1,24,
automata-hoodi,,!offer:automata-faucet,"[""[Docs](https://www.hoodifaucet.io)""]",hoodi,,,,,,,0.01,0.1,
chain-platform-hoodi,,!offer:chain-platform-faucet,"[""[Faucet](https://faucet.chainplatform.co/faucets/ethereum-hoodi/)""]",hoodi,,,,,,,0.1,,
chain-platform-sepolia,,!offer:chain-platform-faucet,"[""[Faucet](https://faucet.chainplatform.co/faucets/ethereum-sepolia/)""]",sepolia,,,,,,,0.1,,
chainlink-sepolia,,!offer:chainlink-faucet,"[""[Faucet](https://faucets.chain.link/sepolia)"",""[Docs](https://blog.chain.link/sepolia-eth/)""]",sepolia,,,,,,,0.5,24,
chainstack-hoodi,,!offer:chainstack-faucet,"[""[Docs](https://faucet.chainstack.com/hoodi-testnet-faucet)""]",hoodi,,,,,,,0.5,24,
chainstack-sepolia,,!offer:chainstack-faucet,"[""[Docs](https://faucet.chainstack.com/sepolia-testnet-faucet)""]",sepolia,,,,,,,0.5,24,
circle-faucet-eurc,,!offer:circle-faucet-eurc,,sepolia,,,,,,,,,
circle-faucet-usdc,,!offer:circle-faucet-usdc,,sepolia,,,,,,,,,
getblock-sepolia,,!offer:getblock-faucet,"[""[Open](https://getblock.io/faucet/)"",""[Docs](https://getblock.io/blog/free-eth-faucets-testnet-at-getblock/)""]",sepolia,,,,,,,0.1,24,
getsepolia-sepolia,,!offer:getsepolia-faucet,,sepolia,,,,,,,,,
ghost-hoodi,,!offer:ghost-faucet,"[""[Docs](https://ghostchain.io/faucet/ethereum-hoodi/)""]",hoodi,,,,,,,0.5,,
ghost-sepolia,,!offer:ghost-faucet,"[""[Docs](https://ghostchain.io/faucet/ethereum-sepolia/)""]",sepolia,,,,,,,0.01,,
google-cloud-sepolia,,!offer:google-cloud-faucet,"[""[Docs](https://cloud.google.com/application/web3/faucet/ethereum/sepolia)""]",sepolia,,,,,,,0.05,24,
pk910-hoodi,,!offer:pk910-faucet,"[""[Docs](https://hoodi-faucet.pk910.de)""]",hoodi,,,,,,,0.05,,
pk910-sepolia,,!offer:pk910-faucet,"[""[Docs](https://sepolia-faucet.pk910.de)""]",sepolia,,,,,,,0.05,,
quicknode-hoodi,,!offer:quicknode-faucet,"[""[Docs](https://faucet.quicknode.com/drip)""]",hoodi,,,,,,,1,6,
quicknode-sepolia,,!offer:quicknode-faucet,"[""[Docs](https://faucet.quicknode.com/drip)""]",sepolia,,,,,,,0.2,12,
rockx-sepolia,,!offer:rockx-faucet,"[""[Docs](https://access.rockx.com/faucet-sepolia)""]",sepolia,,,,,,,0,24,
stakely-hoodi,,!offer:stakely-faucet,"[""[Docs](https://stakely.io/faucet/ethereum-hoodi-testnet-eth)""]",hoodi,,,,,,,1,24,
tatum-hoodi,,!offer:tatum-faucet,"[""[Docs](https://tatum.io/faucets/hoodi)""]",hoodi,,,,,,,0.002,24,
tatum-sepolia,,!offer:tatum-faucet,"[""[Docs](https://tatum.io/faucets/sepolia)""]",sepolia,,,,,,,0.002,24,
