slug,provider,offer,actionButtons,serverType,hostingType,transportType,mcpEndpoint,authType,credentialKey,selfHostedCommand,selfHostedArgs,selfHostedRequiredEnvVars,x402,onChainWrite,agentSkills,tag,description,planType,planName,price,trial,starred
3xpl-mcp,,!offer:3xpl-mcp,,,,,,,,,,,,,,,,,,,,
agenti,,!offer:agenti,,,,,,,,,,,,,,,,,,,,
alchemy-mcp-server,,!offer:alchemy-mcp-server,,,,,,,,,,,,,,,,,,,,
blockscout-mcp,,!offer:blockscout-mcp,,,,,,,,,,,,,,,,,,,,
chainlink-feeds-mcp,,!offer:chainlink-feeds-mcp,,,,,,,,,,,,,,,,,,,,
chainstack-rpc-nodes-mcp,,!offer:chainstack-rpc-nodes-mcp,,,,,,,,,,,,,,,,,,,,
codex-docs-mcp,,!offer:codex-docs-mcp,,,,,,,,,,,,,,,,,,,,
codex-mcp,,!offer:codex-mcp,,,,,,,,,,,,,,,,,,,,
coinbase-agentkit-mcp,,!offer:coinbase-agentkit-mcp,,,,,,,,,,,,,,,,,,,,
contract-scraper-mcp,,!offer:contract-scraper-mcp,,,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-address-history,,!offer:cryptoapis-mcp-address-history,,,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-address-latest,,!offer:cryptoapis-mcp-address-latest,,,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-block-data,,!offer:cryptoapis-mcp-block-data,,,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-blockchain-fees,,!offer:cryptoapis-mcp-blockchain-fees,,,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-broadcast,,!offer:cryptoapis-mcp-broadcast,,,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-contracts,,!offer:cryptoapis-mcp-contracts,,,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-hd-wallet,,!offer:cryptoapis-mcp-hd-wallet,,,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-http-server,,!offer:cryptoapis-mcp-http-server,,,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-hub,,!offer:cryptoapis-mcp-hub,,,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-prepare-transactions,,!offer:cryptoapis-mcp-prepare-transactions,,,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-signer,,!offer:cryptoapis-mcp-signer,,,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-simulate,,!offer:cryptoapis-mcp-simulate,,,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-transactions-data,,!offer:cryptoapis-mcp-transactions-data,,,,,,,,,,,,,,,,,,,,
debridge-mcp,,!offer:debridge-mcp,,,,,,,,,,,,,,,,,,,,
dexpaprika-mcp,,!offer:dexpaprika-mcp,,,,,,,,,,,,,,,,,,,,
etherscan-hosted-mcp,,!offer:etherscan-hosted-mcp,,,,,,,,,,,,,,,,,,,,
euler-vaults-mcp,,!offer:euler-vaults-mcp,,,,,,,,,,,,,,,,,,,,
evm-mcp-server,,!offer:evm-mcp-server,,,,,,,,,,,,,,,,,,,,
mcp-etherscan-server,,!offer:mcp-etherscan-server,,,,,,,,,,,,,,,,,,,,
misttrack-mcp,,!offer:misttrack-mcp,,,,,,,,,,,,,,,,,,,,
moralis-mcp-server,,!offer:moralis-mcp-server,,,,,,,,,,,,,,,,,,,,
nansen-mcp,,!offer:nansen-mcp,,,,,,,,,,,,,,,,,,,,
nodit-mcp-server,,!offer:nodit-mcp-server,,,,,,,,,,,,,,,,,,,,
nodit-remote-mcp,,!offer:nodit-remote-mcp,,,,,,,,,,,,,,,,,,,,
philidor-defi-vaults,,!offer:philidor-defi-vaults,,,,,,,,,,,,,,,,,,,,
tatum-blockchain-mcp,,!offer:tatum-blockchain-mcp,,,,,,,,,,,,,,,,,,,,
token-minter-mcp,,!offer:token-minter-mcp,,,,,,,,,,,,,,,,,,,,
token-revoke-mcp,,!offer:token-revoke-mcp,,,,,,,,,,,,,,,,,,,,
ucai,,!offer:ucai,,,,,,,,,,,,,,,,,,,,
uniswap-poolspy-mcp,,!offer:uniswap-poolspy-mcp,,,,,,,,,,,,,,,,,,,,
uniswap-trader-mcp,,!offer:uniswap-trader-mcp,,,,,,,,,,,,,,,,,,,,
universal-crypto-mcp,,!offer:universal-crypto-mcp,,,,,,,,,,,,,,,,,,,,
universal-crypto-mcp-http,,!offer:universal-crypto-mcp-http,,,,,,,,,,,,,,,,,,,,
wallet-agent,,!offer:wallet-agent,,,,,,,,,,,,,,,,,,,,
wallet-inspector-mcp,,!offer:wallet-inspector-mcp,,,,,,,,,,,,,,,,,,,,
web3-mcp,,!offer:web3-mcp,,,,,,,,,,,,,,,,,,,,
whale-tracker-mcp,,!offer:whale-tracker-mcp,,,,,,,,,,,,,,,,,,,,
