slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
api3-mainnet,,!offer:api3,"[""[Docs](https://docs.api3.org/)""]",mainnet,,,,,,,,,,,,
band-mainnet,,!offer:band,"[""[Docs](https://docs.bandchain.org/)""]",mainnet,,,,,,,,,,,,
chainlink-mainnet,,!offer:chainlink,"[""[ETH/USD](https://data.chain.link/feeds/ethereum/mainnet/eth-usd)""]",mainnet,,,,,,,,,,,,
chronicle-mainnet,,!offer:chronicle,"[""[ETH/USD](https://chroniclelabs.org/dashboard/oracle/ETH/USD)""]",mainnet,,,,,,,,,,,,
chronicle-sepolia,,!offer:chronicle,"[""[SEP/USD](https://chroniclelabs.org/dashboard/oracle/ETH/USD#testnet=true&txn=0x395d4ceb7506e27e2227417719ca5c21e1baa9e3f5521a20e411ccb25f70bed9&contract=0xdd6D76262Fd7BdDe428dcfCd94386EbAe0151603&blockchain=SEP)""]",sepolia,,,,,,,,,,,,
dia-mainnet,,!offer:dia,"[""[Website](https://www.diadata.org/)"",""[Docs](https://www.diadata.org/docs/guides/chain-specific-guide/ethereum)""]",mainnet,,,,,,,,,,,,
gelato-mainnet,,!offer:gelato,,mainnet,,,,,,,,,,,,
ora-mainnet,,!offer:ora,,mainnet,,,,,,,,,,,,
protofire-mainnet,,!offer:protofire,,mainnet,,,,,,,,,,,,
pyth-mainnet,,!offer:pyth,"[""[ETH/USD](https://app.pyth.com/explore/Crypto.ETH%2FUSD)""]",mainnet,,,,,,,,,,,,
pyth-sepolia,,!offer:pyth,"[""[Docs](https://docs.pyth.network/price-feeds/core/upgrade/contracts#evm)""]",sepolia,,,,,,,,,,,,
quex-mainnet,,!offer:quex,"[""[Website](https://quex.tech/)"",""[Contracts](https://docs.quex.tech/general/addresses/)""]",mainnet,,,,,,,,,,,,
redstone-mainnet,,!offer:redstone,"[""[Docs](https://docs.redstone.finance/)""]",mainnet,,,,,,,,,,,,
scry-protocol-mainnet,,!offer:scry-protocol,,mainnet,,,,,,,,,,,,
stork-mainnet,,!offer:stork,"[""[Website](https://www.stork.network/)"",""[Contracts](https://docs.stork.network/resources/contract-addresses/evm)""]",mainnet,,,,,,,,,,,,
supra-hoodi,,!offer:supra,,hoodi,,,,,,,,,,,,
supra-mainnet,,!offer:supra,"[""[Website](https://supra.com/)"",""[Contracts](https://docs.supra.com/oracles/data-feeds/pull-oracle/networks)""]",mainnet,,,,,,,,,,,,
supra-sepolia,,!offer:supra,,sepolia,,,,,,,,,,,,
tellor-mainnet,,!offer:tellor,"[""[Website](https://tellor.io/)""]",mainnet,,,,,,,,,,,,
tellor-testnet,,!offer:tellor,"[""[Website](https://tellor.io/)""]",testnet,,,,,,,,,,,,
uma-mainnet,,!offer:uma,"[""[Docs](https://docs.uma.xyz/)""]",mainnet,,,,,,,,,,,,
umbrella-network-mainnet,,!offer:umbrella-network,,mainnet,,,,,,,,,,,,
witnet-mainnet,,!offer:witnet,"[""[Docs](https://docs.witnet.io/)""]",mainnet,,,,,,,,,,,,
