slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
allthatnode-calibnet-dedicated-recent-state,,!offer:allthatnode-dedicated-recent-state,"[""[Contact](https://www.allthatnode.com/pricing.dsrv)"",""[Website](https://www.allthatnode.com/filecoin.dsrv)""]",,,,,,calibnet,,,,,,,,,,,,,,,,,,,
allthatnode-mainnet-dedicated-recent-state,,!offer:allthatnode-dedicated-recent-state,"[""[Contact](https://www.allthatnode.com/pricing.dsrv)"",""[Website](https://www.allthatnode.com/filecoin.dsrv)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
ankr-mainnet-free-recent-state,,!offer:ankr-free-recent-state,"[""[Website](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#filecoin)""]",,,,,,mainnet,,,,,"[""All read methods + MPoolPush""]",,,,,,,,,,,,,,
ankr-mainnet-pay-as-you-go-recent-state,,!offer:ankr-pay-as-you-go-recent-state,"[""[Buy](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#filecoin)""]",,,,,,mainnet,,,,,"[""All read methods + MPoolPush"",""Advanced Ankr API""]",,,,,,,,,,,,,,
blockeden-mainnet-basic-recent-state,,!offer:blockeden-basic-recent-state,"[""[Buy](https://blockeden.xyz/pricing)"",""[Filecoin RPC](https://blockeden.xyz/api-marketplace/filecoin)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-enterprise-50-recent-state,,!offer:blockeden-enterprise-50-recent-state,"[""[Buy](https://blockeden.xyz/pricing)"",""[Filecoin RPC](https://blockeden.xyz/api-marketplace/filecoin)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-enterprise-500-recent-state,,!offer:blockeden-enterprise-500-recent-state,"[""[Buy](https://blockeden.xyz/pricing)"",""[Filecoin RPC](https://blockeden.xyz/api-marketplace/filecoin)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-free-recent-state,,!offer:blockeden-free-recent-state,"[""[Website](https://blockeden.xyz/pricing)"",""[Filecoin RPC](https://blockeden.xyz/api-marketplace/filecoin)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-pro-recent-state,,!offer:blockeden-pro-recent-state,"[""[Buy](https://blockeden.xyz/pricing)"",""[Filecoin RPC](https://blockeden.xyz/api-marketplace/filecoin)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
chain-love-calibnet-free,,!offer:chain-love-free,"[""[Send requests](https://calibration.filecoin.chain.love/rpc/v0)"",""[Docs](https://chain-love.gitbook.io/chain-love-docs/blockchains/filecoin)""]",,,,,,calibnet,,,,,"[""All read methods + MPoolPush""]",,,,,,,,,,,,,,
chain-love-calibnet-pay-as-you-go,,!offer:chain-love-pay-as-you-go,"[""[Buy](/rpc)"",""[Docs](https://chain-love.gitbook.io/chain-love-docs/blockchains/filecoin)""]",,,,,,calibnet,$0,$0.5/1M CUs,,,"[""All read methods + MPoolPush""]",,,,,,,,,,,,,,
chain-love-dedicated-fevm-archive-mainnet,,!offer:chain-love-dedicated,"[""[Buy](/rpc)"",""[Docs](https://chain-love.gitbook.io/chain-love-docs/blockchains/filecoin)""]",,,,,,mainnet,$3.5K,,,,"[""All methods""]",,,,,,,,,,,,,,
chain-love-dedicated-full-archive-calibnet,,!offer:chain-love-dedicated,"[""[Buy](/rpc)"",""[Docs](https://chain-love.gitbook.io/chain-love-docs/blockchains/filecoin)""]",,Dedicated,Archive,RPC,EVM JSON-RPC,calibnet,$800,,,,"[""All methods""]",,,,,,,,,,,,,,
chain-love-dedicated-full-archive-mainnet,,!offer:chain-love-dedicated,"[""[Buy](/rpc)"",""[Docs](https://chain-love.gitbook.io/chain-love-docs/blockchains/filecoin)""]",,,,,,mainnet,$5K,,,,"[""All methods""]",,,,,,,,,,,,,,
chain-love-dedicated-recent-state-calibnet,,!offer:chain-love-dedicated,"[""[Buy](/rpc)"",""[Docs](https://chain-love.gitbook.io/chain-love-docs/blockchains/filecoin)""]",,,,,,calibnet,$600,,,,"[""All methods""]",,,,,,,,,,,,,,
