slug,provider,offer,actionButtons,toolType,tag,price,planType,planName,description,starred
filebase-free,,!offer:filebase-free,,,,,,,,
filebase-pay-as-you-go,,!offer:filebase-pay-as-you-go,,,,,,,,
filecoin-onchain-cloud-warm-storage,,!offer:filecoin-onchain-cloud-warm-storage,,,,,,,,
lighthouse-free,,!offer:lighthouse-free,,,,,,,,
lighthouse-lite,,!offer:lighthouse-lite,,,,,,,,
lighthouse-premium,,!offer:lighthouse-premium,,,,,,,,
pinata-fiesta,,!offer:pinata-fiesta,,,,,,,,
pinata-free,,!offer:pinata-free,,,,,,,,
pinata-picnic,,!offer:pinata-picnic,,,,,,,,
ramo-object-storage,,!offer:ramo-object-storage,,,,,,,,
storacha-extra-spicy,,!offer:storacha-extra-spicy,,,,,,,,
storacha-medium,,!offer:storacha-medium,,,,,,,,
storacha-mild,,!offer:storacha-mild,,,,,,,,
zeeve-build,,!offer:zeeve-build,,,,,,,,
zeeve-free,,!offer:zeeve-free,,,,,,,,
zeeve-growth,,!offer:zeeve-growth,,,,,,,,
zeeve-launch,,!offer:zeeve-launch,,,,,,,,
