slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
api3-mainnet,,!offer:api3,,mainnet,,,,,,,,,,,,
chainlink-mainnet,,!offer:chainlink,,mainnet,,,,,,,,,,,,
chainlink-sepolia,,!offer:chainlink,,sepolia,,,,,,,,,,,,
dia-mainnet,,!offer:dia,,mainnet,,,,,,,,,,,,
pyth-mainnet,,!offer:pyth,,mainnet,,,,,,,,,,,,
pyth-sepolia,,!offer:pyth,,sepolia,,,,,,,,,,,,
redstone-mainnet,,!offer:redstone,,mainnet,,,,,,,,,,,,
supra-mainnet,,!offer:supra,,mainnet,,,,,,,,,,,,
tellor-mainnet,,!offer:tellor,,mainnet,,,,,,,,,,,,
tellor-sepolia,,!offer:tellor,,sepolia,,,,,,,,,,,,
umbrella-mainnet,,!offer:umbrella-network,,mainnet,,,,,,,,,,,,
