slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
chainspect-mainnet,,!offer:chainspect,"[""[Dashboard](https://chainspect.app/chain/somnia)""]",mainnet,"[""Real-time TPS"",""Max TPS"",""Transaction Volume"",""Block Time"",""Finality"",""Total Transactions"",""Nakamoto Coefficient"",""Validators"",""Financial Metrics""]",,,,,,,,
coingecko-api-analyst,,!offer:coingecko-api-analyst,"[[""Website"",""https://www.coingecko.com/en/api""]]",mainnet,,,,"[""REST""]",,,,,
coingecko-api-basic,,!offer:coingecko-api-basic,"[[""Website"",""https://www.coingecko.com/en/api""]]",mainnet,,,,"[""REST""]",,,,,
coingecko-api-lite,,!offer:coingecko-api-lite,"[[""Website"",""https://www.coingecko.com/en/api""]]",mainnet,,,,"[""REST""]",,,,,
coinglass-mainnet,,!offer:coinglass,"[""[Dashboard](https://www.coinglass.com/currencies/SOMI)""]",mainnet,,,,,,,,,
coinmarketcap-basic,,!offer:coinmarketcap-basic,"[[""Website"",""https://coinmarketcap.com/api/""]]",mainnet,,,,"[""REST""]",,,,,
coinmarketcap-enterprise,,!offer:coinmarketcap-enterprise,"[[""Website"",""https://coinmarketcap.com/api/""]]",mainnet,,,,"[""REST""]",,,,,
coinmarketcap-hobbyist,,!offer:coinmarketcap-hobbyist,"[[""Website"",""https://coinmarketcap.com/api/""]]",mainnet,,,,"[""REST""]",,,,,
coinmarketcap-professional,,!offer:coinmarketcap-professional,"[[""Website"",""https://coinmarketcap.com/api/""]]",mainnet,,,,"[""REST""]",,,,,
coinmarketcap-standard,,!offer:coinmarketcap-standard,"[[""Website"",""https://coinmarketcap.com/api/""]]",mainnet,,,,"[""REST""]",,,,,
coinmarketcap-startup,,!offer:coinmarketcap-startup,"[[""Website"",""https://coinmarketcap.com/api/""]]",mainnet,,,,"[""REST""]",,,,,
defillama-mainnet-api,,!offer:defillama-api,"[""[Dashboard](https://defillama.com/chain/somnia)""]",mainnet,,,,,,,,,
defillama-mainnet-free,,!offer:defillama-free,"[""[Dashboard](https://defillama.com/chain/somnia)""]",mainnet,,,,,,,,,
defillama-mainnet-pro,,!offer:defillama-pro,"[""[Dashboard](https://defillama.com/chain/somnia)""]",mainnet,,,,,,,,,
dune-mainnet-analyst,,!offer:dune-analyst,"[""[Dashboard](https://dune.com/blockchains/somnia)""]",mainnet,,,,,,,,,
dune-mainnet-free,,!offer:dune-free,"[""[Dashboard](https://dune.com/blockchains/somnia)""]",mainnet,,,,,,,,,
dune-mainnet-plus,,!offer:dune-plus,"[""[Dashboard](https://dune.com/blockchains/somnia)""]",mainnet,,,,,,,,,
laevitas-mainnet-enterprise,,!offer:laevitas-enterprise,"[[""Dashboard"",""https://app.laevitas.ch/""]]",mainnet,,,,,,,,,
laevitas-mainnet-free,,!offer:laevitas-free,"[[""Dashboard"",""https://app.laevitas.ch/""]]",mainnet,,,,,,,,,
laevitas-mainnet-premium,,!offer:laevitas-premium,"[[""Dashboard"",""https://app.laevitas.ch/""]]",mainnet,,,,,,,,,
messari-mainnet,,!offer:messari,"[""[Dashboard](https://messari.io/project/somnia)""]",mainnet,,,,,,,,,
nansen-mainnet,,!offer:nansen,"[""[Dashboard](https://app.nansen.ai/macro/overview?chain=somnia)""]",mainnet,,,,,,,,,
santiment-mainnet-business-max,,!offer:santiment-business-max,"[[""Dashboard"",""https://app.santiment.net/""]]",mainnet,,,,,,,,,
santiment-mainnet-business-pro,,!offer:santiment-business-pro,"[[""Dashboard"",""https://app.santiment.net/""]]",mainnet,,,,,,,,,
santiment-mainnet-free,,!offer:santiment-free,"[[""Dashboard"",""https://app.santiment.net/""]]",mainnet,,,,,,,,,
santiment-mainnet-sanbase-max,,!offer:santiment-sanbase-max,"[[""Dashboard"",""https://app.santiment.net/""]]",mainnet,,,,,,,,,
santiment-mainnet-sanbase-pro,,!offer:santiment-sanbase-pro,"[[""Dashboard"",""https://app.santiment.net/""]]",mainnet,,,,,,,,,
tokenterminal-mainnet,,!offer:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/somnia)""]",mainnet,,,,,,,,,
