slug,provider,offer,actionButtons,toolType,programmingLanguage,tag,description,planType,planName,price,trial,starred,dependencies,latestKnownVersion,latestKnownReleaseDate,maintainer,license
abitype,,!offer:abitype,,,,,,,,,,,,,,,
alloy,,!offer:alloy,,,,,,,,,,,,,,,
ape-framework,,!offer:ape-framework,,,,,,,,,,,,,,,
connectkit,,!offer:connectkit,"[""[Docs](https://docs.somnia.network/developer/building-dapps/wallet-integration-and-auth/authenticating-with-connectkit)""]",,,,,,,,,,,,,,
ens-js,,!offer:ens-js,,,,,,,,,,,,,,,
eth-abi,,!offer:eth-abi,,,,,,,,,,,,,,,
eth-account,,!offer:eth-account,,,,,,,,,,,,,,,
ethereumjs,,!offer:ethereumjs,,,,,,,,,,,,,,,
ethers-js,,!offer:ethers-js,,,,,,,,,,,,,,,
foundry,,!offer:foundry,"[""[Docs](https://docs.somnia.network/developer/development-frameworks/deploy-with-foundry)""]",,,,,,,,,,,,,,
go-ethereum,,!offer:go-ethereum,,,,,,,,,,,,,,,
hardhat,,!offer:hardhat,,,,,,,,,,,,,,,
lifi-sdk,,!offer:lifi-sdk,"[""[Website](https://li.fi)"",""[Integration](https://li.fi/knowledge-hub/bringing-cross-chain-liquidity-to-somnia-powered-by-li.fi)""]",,,,,,,,,,,,,,
nethereum,,!offer:nethereum,,,,,,,,,,,,,,,
openzeppelin,,!offer:openzeppelin,,,,,,,,,,,,,,,
ox,,!offer:ox,,,,,,,,,,,,,,,
prb-test,,!offer:prb-test,,,,,,,,,,,,,,,
rainbowkit-testnet,,!offer:rainbowkit,"[""[Docs](https://docs.somnia.network/developer/building-dapps/wallet-integration-and-auth/authenticating-with-rainbowkit)""]",,,,,,,,,,,,,,
safe-protocol-kit,,!offer:safe-protocol-kit,,,,,,,,,,,,,,,
sequence-sdk-free,,!offer:sequence-sdk-free,"[""[Docs](https://docs.somnia.network/developer/deployment-and-production/ecosystem/ecosystem-tools/sdks)""]",,,,,,,,,,,,,,
somnia-data-streams-sdk,,!offer:somnia-data-streams-sdk,,,,,,,,,,,,,,,
tevm,,!offer:tevm,,,,,,,,,,,,,,,
thirdweb-sdk,,!offer:thirdweb-sdk,"[""[Docs](https://docs.somnia.network/developer/deployment-and-production/ecosystem/ecosystem-tools/sdks)""]",,,,,,,,,,,,,,
viem,,!offer:viem,,,,,,,,,,,,,,,
wagmi,,!offer:wagmi,"[""[Website](https://docs.somnia.network/developer/building-dapps/wallet-integration-and-auth/authenticating-with-connectkit)""]",,,,,,,,,,,,,,
web3-js,,!offer:web3-js,,,,,,,,,,,,,,,
web3-py,,!offer:web3-py,,,,,,,,,,,,,,,
web3auth-base,,!offer:web3auth-base,,,,,,,,,,,,,,,
web3auth-growth,,!offer:web3auth-growth,,,,,,,,,,,,,,,
web3auth-scale,,!offer:web3auth-scale,,,,,,,,,,,,,,,
web3j,,!offer:web3j,,,,,,,,,,,,,,,
