slug,provider,offer,actionButtons,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred,tag
ambire-wallet,,!offer:ambire-wallet,,,,,,,,,,,,,,,,,,,
binance-wallet,,!offer:binance-wallet,,,,,,,,,,,,,,,,,,,
clave-wallet,,!offer:clave-wallet,,,,,,,,,,,,,,,,,,,
coin-wallet,,!offer:coin-wallet,,,,,,,,,,,,,,,,,,,
coinomi-wallet,,!offer:coinomi-wallet,,,,,,,,,,,,,,,,,,,
gem-wallet,,!offer:gem-wallet,,,,,,,,,,,,,,,,,,,
kryptogo-wallet,,!offer:kryptogo-wallet,,,,,,,,,,,,,,,,,,,
ledger,,!offer:ledger,,,,,,,,,,,,,,,,,,,
metamask,,!offer:metamask,"[""[Docs](https://docs.somnia.network/get-started/connect-your-wallet-to-mainnet)""]",,,,,,,,,,,,,,,,,,
nufi-wallet,,!offer:nufi-wallet,,,,,,,,,,,,,,,,,,,
phantom,,!offer:phantom,,,,,,,,,,,,,,,,,,,
privy-wallet,,!offer:privy-wallet,"[""[Website](https://www.privy.io/wallets)"",""[Docs](https://docs.somnia.network/developer/building-dapps/wallet-integration-and-auth/authenticating-with-privy)""]",,,,,,,,,,,,,,,,,,
rabby,,!offer:rabby,,,,,,,,,,,,,,,,,,,
ronin-wallet,,!offer:ronin-wallet,,,,,,,,,,,,,,,,,,,
saakuru-wallet,,!offer:saakuru-wallet,,,,,,,,,,,,,,,,,,,
safe-gnosis,Palmera,!offer:safe-gnosis,"[""[Website](https://safe.somnia.network/)"",""[Docs](https://docs.somnia.network/developer/infrastructure-providers/safes)""]",,,,,,,,,,,,,,,,,,
sequence,,!offer:sequence,,,,,,,,,,,,,,,,,,,
thirdweb-in-app-wallet,,!offer:thirdweb-in-app-wallet,"[""[Website](https://thirdweb.com/somnia)"",""[Docs](https://portal.thirdweb.com/wallets)""]",,,,,,,,,,,,,,,,,,
trustwallet,,!offer:trustwallet,,,,,,,,,,,,,,,,,,,
walletverse,,!offer:walletverse,,,,,,,,,,,,,,,,,,,
zerion,,!offer:zerion,,,,,,,,,,,,,,,,,,,
