slug,provider,offer,actionButtons,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
arkham,Arkham,,"[""[Dashboard](https://arkm.com/register?ref=aee358ba-e4d6-455a-a6e0-741243247160)""]","[""Transactions"",""Active Users"",""Contracts"",""DApp Interactions""]",TRUE,,"[""REST API"",""WebSocket API"",""Arkham Exchange API""]",Custom,,Enterprise,FALSE,
artemis,Artemis,,"[""[Dashboard](https://www.artemis.ai/home)""]","[""On-chain Metrics"",""Financial Metrics"",""Developer Activity"",""Application Activity"",""Stablecoin Metrics""]",TRUE,,,$0,Lite,Free,FALSE,
blockworks,Blockworks,,"[""[Dashboard](https://blockworks.com/analytics/chain-comparison)""]","[""Network fees"",""Transaction activity"",""Contracts deployed"",""Tokens created"",""Retention rate"",""Economics per defi type"",""AI Agents"",""Stablecoins swaps"",""Meme coins""]",TRUE,,"[""Data API"",""Supported Data Types"",""Additional Tools and Libraries""]",$0,,Free,FALSE,
bubblemaps,Bubblemaps,,"[""[Dashboard](https://v2.bubblemaps.io/)""]","[""Token Distribution"",""Wallet Connections""]",TRUE,,"[""REST API""]",$0,,Free,FALSE,
chainspect,Chainspect,,"[""[Dashboard](https://chainspect.app/dashboard)""]","[""Real-time TPS"",""Max TPS"",""Transaction Volume"",""Block Time"",""Finality"",""Total Transactions"",""Nakamoto Coefficient"",""Validators"",""Developer Activity"",""Financial Metrics""]",TRUE,,,$0,,Free,FALSE,
cid-checker,CID Checker,,"[""[Dashboard](https://filecoin.tools/)""]","[""Active Deals"",""Verified Deals""]",FALSE,,"[""REST API""]",$0,,Free,FALSE,
coingecko-api-analyst,CoinGecko,,"[""[Buy](https://www.coingecko.com/en/api/pricing)""]","[""Real-time and historical prices"",""Market capitalization"",""Trading volume analysis"",""DeFi and NFT data""]",TRUE,10 years,"[""Coins & Tokens API"",""Crypto Market API"",""Exchanges & Derivatives API""]","$129/mo (monthly plan), $103.2/mo (yearly plan)",Analyst,Tiered,FALSE,
coingecko-api-basic,CoinGecko,,"[""[Buy](https://www.coingecko.com/en/api/pricing)""]","[""Real-time and historical prices"",""Market capitalization"",""Trading volume analysis"",""DeFi and NFT data""]",TRUE,2 years,"[""Coins & Tokens API"",""Crypto Market API"",""Exchanges & Derivatives API""]","$35/mo (monthly plan), $29/mo (yearly plan)",Basic,Tiered,FALSE,
coingecko-api-enterprise,CoinGecko,,"[""[Contact](https://www.coingecko.com/en/api/enterprise)""]","[""Real-time and historical prices"",""Market capitalization"",""Trading volume analysis"",""DeFi and NFT data""]",TRUE,10 years,"[""Coins & Tokens API"",""Crypto Market API"",""Exchanges & Derivatives API""]",Custom,,Enterprise,FALSE,
coingecko-api-lite,CoinGecko,,"[""[Buy](https://www.coingecko.com/en/api/pricing)""]","[""Real-time and historical prices"",""Market capitalization"",""Trading volume analysis"",""DeFi and NFT data""]",TRUE,10 years,"[""Coins & Tokens API"",""Crypto Market API"",""Exchanges & Derivatives API""]","$499/mo (monthly plan), $399.2/mo (yearly plan)",Lite,Tiered,FALSE,
coinglass,Coinglass,,"[""[Dashboard](https://www.coinglass.com/)""]","[""Derivatives"",""Open Interest"",""Liquidations""]",TRUE,,"[""REST API""]",$0,,Free,FALSE,
