slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
1rpc-developer-recent-state,1rpc,,"[""[Buy](https://www.1rpc.io/#pricing)"",""[Docs](https://docs.1rpc.io/)""]",Developer,Tiered,Pruned,RPC,EVM JSON-RPC,"$29.90/mo (monthly plan), $24.99/mo (yearly plan)",$0,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""100K protected reqs/day""]","[""Privacy Protected Relays"", ""Transaction Sanitizers""]","[""Real-time monitoring"",""Usage analytics"",""Advanced analytics"",""Customizable alerting and reporting"",""Transaction sanitizers""]","[""Global""]",,,,99.90%,NULL,NULL,NULL,NULL,NULL,
1rpc-enterprise-recent-state,1rpc,,"[""[Contact](https://www.1rpc.io/#pricing)"",""[Docs](https://docs.1rpc.io/)""]",,Enterprise,Pruned,RPC,EVM JSON-RPC,Custom,Custom,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""custom limits""]","[""Privacy Protected Relays"", ""Transaction Sanitizers""]","[""Real-time monitoring"",""Usage analytics"",""Advanced analytics"",""Customizable alerting and reporting"",""Transaction sanitizers""]","[""Global""]",,,,99.99%,NULL,NULL,NULL,NULL,NULL,
1rpc-personal-recent-state,1rpc,,"[""[Buy](https://www.1rpc.io/#pricing)"",""[Docs](https://docs.1rpc.io/)""]",Personal,Tiered,Pruned,RPC,EVM JSON-RPC,"$9.90/mo (monthly plan), $8.33/mo (yearly plan)",$0,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""40K protected reqs/day""]","[""Privacy Protected Relays"", ""Transaction Sanitizers""]","[""Real-time monitoring"",""Usage analytics"",""Advanced analytics"",""Customizable alerting and reporting"",""Transaction sanitizers""]","[""Global""]",,,,99.90%,NULL,NULL,NULL,NULL,NULL,
1rpc-public-recent-state,1rpc,,"[""[Website](https://1rpc.io)"",""[Docs](https://docs.1rpc.io/)""]",,Public,Pruned,RPC,EVM JSON-RPC,$0,$0,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""10K protected reqs/day""]","[""Privacy Protected Relays""]","[""Real-time monitoring"",""Usage analytics"",""Advanced analytics"",""Customizable alerting and reporting"",""Transaction sanitizers""]","[""Global""]",,,,,NULL,NULL,NULL,NULL,NULL,
1rpc-starter-recent-state,1rpc,,"[""[Website](https://1rpc.io)"",""[Docs](https://docs.1rpc.io/)""]",Starter,Free,Pruned,RPC,EVM JSON-RPC,$0,$0,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""20K protected reqs/day""]","[""Privacy Protected Relays"", ""Transaction Sanitizers""]","[""Real-time monitoring"",""Usage analytics"",""Advanced analytics"",""Customizable alerting and reporting"",""Transaction sanitizers""]","[""Global""]",,,,99.90%,NULL,NULL,NULL,NULL,NULL,
alchemy-enterprise-full-archive,Alchemy,,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs)""]",,Enterprise,Archive,RPC,EVM JSON-RPC,Custom,Custom pricing,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""custom limits""]","[""TX simulation"",""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"",""Advanced analytics"",""Custom dashboards"",""Engineering support""]","[""Global""]",,,,99.99%,NULL,NULL,NULL,NULL,NULL,
alchemy-enterprise-recent-state,Alchemy,,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs)""]",,Enterprise,Pruned,RPC,EVM JSON-RPC,Custom,Custom pricing,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""custom limits""]","[""TX simulation"",""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"",""Advanced analytics"",""Custom dashboards"",""Engineering support""]","[""Global""]",,,,99.99%,NULL,NULL,NULL,NULL,NULL,
alchemy-free-full-archive,Alchemy,,"[""[Website](https://www.alchemy.com)"",""[Docs](https://www.alchemy.com/docs)""]",,Free,Archive,RPC,EVM JSON-RPC,$0,$0/1M request,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""25 reqs/sec"",""30M CU/mo""]","[""TX simulation"",""DDoS Protection"",""IP Protection""]","[""Basic monitoring"",""Usage analytics""]","[""Global""]",,,,,NULL,NULL,NULL,NULL,NULL,
alchemy-free-recent-state,Alchemy,,"[""[Website](https://www.alchemy.com)"",""[Docs](https://www.alchemy.com/docs)""]",,Free,Pruned,RPC,EVM JSON-RPC,$0,$0/1M request,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""25 reqs/sec"",""30M CU/mo""]","[""TX simulation"",""DDoS Protection"",""IP Protection""]","[""Basic monitoring"",""Usage analytics""]","[""Global""]",,,,,NULL,NULL,NULL,NULL,NULL,
alchemy-pay-as-you-go-full-archive,Alchemy,,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs)""]",,Pay-as-you-go,Archive,RPC,EVM JSON-RPC,$5/$45/$215/$415/$815/$2K,$0.40/$0.45/1M CUs,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""300 req/sec""]","[""TX simulation"",""DDoS Protection"",""IP Protection"",""SAML SSO""]","[""Usage analytics"",""Custom alerts"",""Reporting"",""Custom monitoring"",""Advanced analytics""]","[""Global""]",,,,99.99%,NULL,NULL,NULL,NULL,NULL,
