slug,provider,offer,actionButtons,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
3xpl,3xpl,,"[""[Explore](https://3xpl.com/)""]",Custom,"[""Transactions"",""Blocks""]","[""Ad-free"",""Ultra-fast""]",FALSE,"[""JSON API""]",,"[""Address"",""Tx""]",FALSE,TRUE,Free,
algo-surf,Algo Surf,,"[""[Explore](https://algo.surf/)""]",Custom,"[""Accounts"",""Transactions"",""Blocks"",""Assets"",""Applications""]","[""Network Switching"",""Global State"",""Application Code"",""App Escrow Lookup"",""Raw JSON View""]",FALSE,,,"[""Address"",""Transaction Hash"",""Block"",""Asset"",""Application""]",FALSE,TRUE,Free,
algogazer,AlgoGazer,,"[""[Explore](https://algogazer.app/algorand/)""]",Custom,"[""Accounts"",""Transactions"",""Blocks"",""Assets"",""NFTs""]","[""Bookmarks"",""NFD Support"",""Asset Price Chart"",""Wallet Sync"",""Asset Opt-ins""]",FALSE,,,"[""Address"",""Transaction Hash"",""Block"",""Asset"",""NFD""]",FALSE,TRUE,Free,
allo,Allo,,"[""[Explore](https://allo.info/)""]",Custom,"[""Transactions"",""Assets"",""Accounts"",""Applications"",""Projects"",""Blocks"",""NFDomains""]","[""TEAL Inspector"",""Transaction Group Summary"",""Transaction Filters"",""Verified Asset Badges"",""NFT Rarity Data"",""Token Prices""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block"",""Asset"",""Application""]",TRUE,TRUE,Free,
arbiscan,Etherscan,,,Etherscan,"[""Transactions"",""Address Activity"",""Token transfers"",""Blocks""]","[""VMTrace"",""Verified Contracts"",""API Access""]",FALSE,"[""REST API""]",,"[""Search"",""Filter"",""Label Cloud""]",TRUE,TRUE,Free,
arkham,Arkham,,"[""[Explore](https://arkm.com/register?ref=aee358ba-e4d6-455a-a6e0-741243247160)"",""[Docs](https://codex.arkm.com/)""]",Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Entity Labeling"",""Relationship Graphs"",""De-anonymization"",""Portfolio Tracking""]",FALSE,"[""REST API""]","[""Python"",""TypeScript""]","[""Address"",""Entity"",""Transaction Hash"",""Token""]",FALSE,TRUE,Partially paid,
avalanche-explorer,Avalanche,,"[""[Explore](https://explorer.avax.network/en/)"",""[Docs](https://build.avax.network/integrations/avalanche-explorer)""]",Custom,"[""Transactions"",""Blocks"",""Addresses"",""Tokens"",""Gas"",""Validators"",""Staking""]","[""Avalanche L1 Support"",""Historical Analytics""]",FALSE,"[""REST API""]","[""TypeScript""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,FALSE,Partially paid,
avascan,Avascan,,"[""[Explore](https://avascan.info/)"",""[Docs](https://docs.avascan.info/)""]",Custom,"[""Transactions"",""Blocks"",""Addresses"",""Tokens"",""Validators"",""Staking"",""Network Activity""]","[""Multi-chain Support"",""Internal Transactions"",""Cross-Chain Transactions"",""NFT Explorer""]",FALSE,"[""REST API"",""Etherscan-compatible API""]",,"[""Address"",""Transaction Hash"",""Block"",""Token"",""Validator"",""Domain""]",TRUE,TRUE,Partially paid,
beaconchain,Beaconcha.in,,,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Gas Tracker"",""Stats"",""Charts""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block""]",FALSE,TRUE,Free,
berascan,Berachain,BeraScan,"[""[Explore](https://berascan.com/)"",""[Docs](https://docs.berachain.com/general/introduction/connect-to-berachain)""]",Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts"",""Blocks""]",,FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,
