slug,provider,offer,actionButtons,serverType,hostingType,transportType,mcpEndpoint,authType,credentialKey,selfHostedCommand,selfHostedArgs,selfHostedRequiredEnvVars,x402,onChainWrite,agentSkills,tag,description,planType,planName,price,trial,starred
1inch-mcp,1inch,,"[""[Website](https://1inch.com/)"",""[Docs](https://github.com/1inch/1inch-ai)""]",services,Hosted,http,"https://api.1inch.com/mcp/protocol",None,,,,,FALSE,TRUE,"[""docs-search"",""token-swap"",""limit-orders"",""cross-chain-swap""]","[""EVM"",""Solana"",""multi-chain"",""DeFi"",""DEX"",""AI agents""]","Official 1inch hosted MCP server for AI agents to search documentation, access SDK examples, and execute token swaps and limit orders across EVM chains and Solana",Free,,$0,FALSE,FALSE
3xpl-mcp,Exekerey,,"[""[Website](https://github.com/exekerey/3xpl-mcp)"",""[Docs](https://github.com/exekerey/3xpl-mcp#readme)""]",explorers,Self-hosted,stdio,,None,,uv,"[""run"",""--with"",""mcp[cli]"",""mcp"",""run"",""{:path_to_cloned}/3xpl_mcp/main.py""]",,FALSE,FALSE,"[""explorer-query"",""transaction-lookup"",""address-lookup""]","[""block explorer"",""multi-chain"",""on-chain data"",""AI agents""]",MCP server for querying blockchain explorer data across multiple blockchains via the 3xpl API,Free,,$0,FALSE,FALSE
aarc-docs-mcp,Aarc,,"[""[Website](https://www.aarc.xyz/)"",""[Docs](https://docs.aarc.xyz/mcp)""]",docs,Hosted,http,"https://docs.aarc.xyz/mcp",None,,,,,FALSE,FALSE,"[""documentation-search"",""api-reference"",""developer-guidance""]","[""Aarc"",""intent infrastructure"",""cross-chain"",""documentation"",""AI agents""]","Official Aarc documentation MCP server for AI agents to search Aarc docs, API references, and integration guidance for intent-based cross-chain UX via a hosted streamable HTTP endpoint",Free,,$0,FALSE,FALSE
across-mcp,Across,,"[""[Website](https://across.to/)"",""[Docs](https://docs.across.to/ai-agents/mcp-server)""]",services,Hosted,http,"https://mcp.across.to/mcp",None,,,,,FALSE,FALSE,"[""documentation-search"",""api-reference"",""supported-chains-query"",""bridge-fee-query""]","[""Across"",""bridges"",""cross-chain"",""documentation"",""AI agents""]","Official Across hosted MCP server for AI agents to search docs, retrieve API references, list supported chains, and fetch live bridge fees via a public streamable HTTP endpoint",Free,,$0,FALSE,FALSE
agenti,Nirholas,,"[""[Website](https://github.com/nirholas/agenti)"",""[Docs](https://github.com/nirholas/agenti#readme)""]",services,Self-hosted,stdio,,None,,npx,"[""@nirholas/agenti""]",,TRUE,TRUE,"[""defi-swap"",""defi-bridge"",""defi-yield"",""portfolio-tracking"",""x402-payments""]","[""EVM"",""Solana"",""multi-chain"",""DeFi"",""x402"",""AI agents""]","Comprehensive MCP server for DeFi operations across 20+ blockchains with 380+ tools for swaps, bridges, yield farming, portfolio tracking, and x402 payments",Free,,$0,FALSE,FALSE
aibtc-mcp-server,Aibtc,,"[""[Website](https://github.com/aibtcdev/aibtc-mcp-server)"",""[Docs](https://github.com/aibtcdev/aibtc-mcp-server#readme)""]",services,Self-hosted,stdio,,API Key,,,,,TRUE,TRUE,"[""wallet-management"",""defi-yield"",""sbtc-operations"",""nft-operations"",""x402-payments""]","[""Bitcoin"",""Stacks"",""DeFi"",""sBTC"",""NFT"",""x402"",""AI agents""]","Bitcoin-native MCP server for AI agents with BTC/STX wallets, DeFi yield, sBTC peg, NFTs, and x402 payments",Free,,$0,FALSE,FALSE
alchemy-mcp-server,Alchemy,,"[""[Website](https://www.alchemy.com/)"",""[Docs](https://www.alchemy.com/docs/alchemy-mcp-server)""]",apis,Hosted,http,"https://mcp.alchemy.com/mcp",OAuth/PAT,alchemy,,,,FALSE,TRUE,"[""multichain-data-query"",""token-pricing"",""onchain-transfers"",""wallet-operations""]","[""infrastructure"",""multi-chain"",""on-chain data"",""AI agents""]",Official Alchemy hosted MCP server for AI agents to query blockchain data and execute transactions through Alchemy APIs,Free,,$0,FALSE,FALSE
algo-wallet-x402-mcp,algo-wallet,,"[""[Website](https://ai-agentic-wallet.com/)"",""[Docs](https://ai-agentic-wallet.com/docs)""]",wallets,Self-hosted,stdio,,API Key,algo-wallet,npx,"[""-y"",""@algo-wallet/x402-mcp""]","[""ALGO_MNEMONIC"",""X402_AGENT_ID"",""X402_PORTAL_KEY""]",TRUE,TRUE,"[""x402-payment"",""balance-check"",""spending-mandate-check""]","[""Algorand"",""wallet"",""USDC"",""x402"",""AI agents""]","Mandate-governed Algorand wallet MCP server for checking balances and owner-defined spending limits, then paying x402-gated APIs with USDC on Algorand.",Pay-As-You-Go,,$0.01/transaction,FALSE,FALSE
algorand-mcp,GoPlausible,,"[""[Website](https://github.com/GoPlausible/algorand-mcp)"",""[Docs](https://github.com/GoPlausible/algorand-mcp#readme)""]",apis,Self-hosted,stdio,,None,,npx,"[""@goplausible/algorand-mcp""]",,FALSE,TRUE,"[""wallet-management"",""transaction-send"",""contract-interaction"",""algorand-assets""]","[""Algorand"",""wallet"",""smart contracts"",""ASA"",""AI agents""]","Algorand MCP server for AI agents — wallet management, transaction building/signing, smart contracts, and ASAs on Algorand mainnet/testnet",Free,,$0,FALSE,FALSE
avalanche-builder-hub-mcp,Avalanche,,"[""[Website](https://build.avax.network/)"",""[Docs](https://build.avax.network/docs/tooling/ai-llm/mcp-server)""]",docs,Hosted,http,"https://build.avax.network/api/mcp",None,,,,,FALSE,FALSE,"[""documentation-search"",""api-reference"",""developer-guidance""]","[""Avalanche"",""Layer 1"",""documentation"",""developer tools"",""AI agents""]","Official Avalanche Builder Hub MCP server for AI agents to search Avalanche documentation, academy content, integrations, and developer resources via a hosted public endpoint",Free,,$0,FALSE,FALSE
banxa-docs-mcp,Banxa,,"[""[Website](https://banxa.com/)"",""[Docs](https://docs.banxa.com/)""]",docs,Hosted,http,"https://docs.banxa.com/mcp",None,,,,,FALSE,FALSE,"[""documentation-search"",""api-reference"",""developer-guidance""]","[""Banxa"",""fiat onramp"",""offramp"",""payments"",""documentation"",""AI agents""]","Official Banxa documentation MCP endpoint for AI agents to search Banxa docs, API references, and integration guidance via a hosted streamable HTTP endpoint",Free,,$0,FALSE,FALSE
base-docs-mcp,Base,,"[""[Website](https://docs.base.org/get-started/docs-mcp)"",""[Docs](https://docs.base.org/get-started/docs-mcp)""]",docs,Hosted,http,"https://docs.base.org/mcp",None,,,,,FALSE,FALSE,"[""documentation-search"",""api-reference"",""developer-guidance""]","[""Base"",""documentation"",""developer platform"",""AI agents""]","Official Base documentation MCP server for AI agents to search Base docs, API references, and implementation guides via a hosted streamable HTTP endpoint",Free,,$0,FALSE,FALSE
base-mcp,Base,,"[""[Website](https://github.com/base/base-mcp)"",""[Docs](https://github.com/base/base-mcp#readme)""]",wallets,Self-hosted,stdio,,API Key,,npx,"[""-y"",""base-mcp@latest""]","[""COINBASE_API_KEY_NAME"",""COINBASE_API_PRIVATE_KEY"",""SEED_PHRASE""]",FALSE,TRUE,"[""wallet-management"",""token-transfer"",""smart-contract-deployment"",""nft-management""]","[""Base"",""EVM"",""onchain-tools"",""AI agents"",""Coinbase""]","Official Base MCP server for AI agents to interact with the Base blockchain and Coinbase API, enabling wallet management, token transfers, contract deployment, and NFT operations",Free,,$0,FALSE,FALSE
beaconcha-in-docs-mcp,Beaconcha.in,,"[""[Website](https://beaconcha.in/)"",""[Docs](https://docs.beaconcha.in/mcp)""]",docs,Hosted,http,"https://docs.beaconcha.in/mcp",None,,,,,FALSE,FALSE,"[""documentation-search"",""api-reference"",""developer-guidance""]","[""Beaconcha.in"",""Ethereum"",""beacon chain"",""validator analytics"",""documentation"",""AI agents""]","Official Beaconcha.in documentation MCP server for AI agents to search Ethereum beacon-chain explorer docs, API references, and validator tooling guides via a hosted streamable HTTP endpoint",Free,,$0,FALSE,FALSE
berachain-docs-mcp,Berachain,,"[""[Website](https://berachain.com/)"",""[Docs](https://docs.berachain.com/mcp)""]",docs,Hosted,http,"https://docs.berachain.com/mcp",None,,,,,FALSE,FALSE,"[""documentation-search"",""api-reference"",""developer-guidance""]","[""Berachain"",""Layer 1"",""EVM"",""documentation"",""AI agents""]","Official Berachain documentation MCP server for AI agents to search Berachain docs, API references, and developer guides via a hosted streamable HTTP endpoint",Free,,$0,FALSE,FALSE
biconomy-docs-mcp,Biconomy,,"[""[Website](https://www.biconomy.io/)"",""[Docs](https://docs.biconomy.io/mcp)""]",docs,Hosted,http,"https://docs.biconomy.io/mcp",None,,,,,FALSE,FALSE,"[""documentation-search"",""api-reference"",""developer-guidance""]","[""Biconomy"",""smart accounts"",""ERC-4337"",""AA"",""documentation"",""AI agents""]","Official Biconomy documentation MCP server for AI agents to search Biconomy docs, smart account guides, and API references for ERC-4337 account abstraction and gasless transactions via a hosted streamable HTTP endpoint",Free,,$0,FALSE,FALSE
