slug,provider,offer,actionButtons,toolType,programmingLanguage,tag,description,planType,planName,price,trial,starred,dependencies,latestKnownVersion,latestKnownReleaseDate,maintainer,license
0x-cert,0xCert,,"[""[Website](https://github.com/0xcert/framework/)""]",Framework,JavaScript,"[""0xcert"",""Blockchain"",""dApp"",""Decentralized applications""]","Provides a comprehensive suite of tools for building decentralized applications that manage digital assets, specifically non-fungible tokens and fungible tokens, across multiple blockchains",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
abitype,wevm,,"[""[Docs](https://abitype.dev/)"",""[GitHub](https://github.com/wevm/abitype)""]",Library,TypeScript,"[""Ethereum"",""TypeScript"",""ABI types"",""Type inference""]","Strict TypeScript types and utilities for Ethereum ABIs, enabling type-safe contract interactions and ABI inference.",Public,,$0,FALSE,FALSE,,,,,
alchemy-sdk-enterprise,Alchemy,SDK,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs)""]",SDK,TBD,"[""Web3 development"",""Blockchain developer tools"",""Ethereum development"",""dApp development""]","It is a powerful JavaScript/TypeScript library that serves as the core of Alchemy's comprehensive web3 development platform, allowing developers to easily connect their decentralized applications to various blockchains and leverage enhanced developer tools and infrastructure",Enterprise,,Custom,FALSE,FALSE,,TBD,TBD,TBD,TBD
alchemy-sdk-free,Alchemy,SDK,"[""[Docs](https://www.alchemy.com/docs)""]",SDK,TBD,"[""Web3 development"",""Blockchain developer tools"",""Ethereum development"",""dApp development""]","It is a powerful JavaScript/TypeScript library that serves as the core of Alchemy's comprehensive web3 development platform, allowing developers to easily connect their decentralized applications to various blockchains and leverage enhanced developer tools and infrastructure",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
alchemy-sdk-pay-as-you-go,Alchemy,SDK,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs)""]",SDK,TBD,"[""Web3 development"",""Blockchain developer tools"",""Ethereum development"",""dApp development""]","It is a powerful JavaScript/TypeScript library that serves as the core of Alchemy's comprehensive web3 development platform, allowing developers to easily connect their decentralized applications to various blockchains and leverage enhanced developer tools and infrastructure",Pay-as-you-go,,$5/$45/$215/$415/$815/$2K per 11M/100M/500M/1B/2B/5B CUs,FALSE,FALSE,,TBD,TBD,TBD,TBD
algokit-avm-vscode-debugger,Algorand,,"[""[GitHub](https://github.com/algorandfoundation/algokit-avm-vscode-debugger)""]",Debugger,TEAL,"[""AVM"",""Debugger"",""Smart Contracts""]","VS Code debugger for stepping through Algorand AVM smart contract execution with breakpoints, source mapping, and state inspection.",Public,,$0,FALSE,FALSE,,,,,
algokit-cli,Algorand,,"[""[GitHub](https://github.com/algorandfoundation/algokit-cli)""]",CLI,"Python, TypeScript","[""CLI"",""Development"",""LocalNet""]","Official command-line toolkit for Algorand development, project scaffolding, builds, deployments, and LocalNet management.",Public,,$0,FALSE,FALSE,,,,,
algokit-client-generator-py,Algorand,,"[""[GitHub](https://github.com/algorandfoundation/algokit-client-generator-py)""]",Code Generator,Python,"[""ARC-32"",""ARC-56"",""Client Generation""]",Generates type-safe Python clients from ARC-32 or ARC-56 Algorand application specifications.,Public,,$0,FALSE,FALSE,,,,,
algokit-client-generator-ts,Algorand,,"[""[GitHub](https://github.com/algorandfoundation/algokit-client-generator-ts)""]",Code Generator,TypeScript,"[""ARC-32"",""ARC-56"",""Client Generation""]",Generates type-safe TypeScript clients from ARC-32 or ARC-56 Algorand application specifications.,Public,,$0,FALSE,FALSE,,,,,
algokit-utils-py,Algorand,,"[""[GitHub](https://github.com/algorandfoundation/algokit-utils-py)"",""[Docs](https://algorandfoundation.github.io/algokit-utils-py/)""]",Library,Python,"[""Utilities"",""Smart Contracts"",""Transactions""]","Python utility library providing higher-level helpers for building, testing, deploying, and interacting with Algorand applications.",Public,,$0,FALSE,FALSE,,,,,
algokit-utils-ts,Algorand,,"[""[GitHub](https://github.com/algorandfoundation/algokit-utils-ts)""]",Library,TypeScript,"[""Utilities"",""Smart Contracts"",""Transactions""]","TypeScript utility library providing higher-level helpers for building, testing, deploying, and interacting with Algorand applications.",Public,,$0,FALSE,FALSE,,,,,
algorand-go-sdk,Algorand,Go SDK,"[""[Docs](https://pkg.go.dev/github.com/algorand/go-algorand-sdk/v2)"",""[GitHub](https://github.com/algorand/go-algorand-sdk)""]",SDK,Go,"[""Algorand"",""Transactions"",""Smart Contracts""]","Official Go SDK for constructing and signing transactions and interacting with Algorand network APIs.",Public,,$0,FALSE,FALSE,,,,,
algorand-java-sdk,Algorand,Java SDK,"[""[Docs](https://algorand.github.io/java-algorand-sdk/)"",""[GitHub](https://github.com/algorand/java-algorand-sdk)""]",SDK,Java,"[""Algorand"",""Transactions"",""Smart Contracts""]","Official Java 8+ SDK for constructing and signing transactions and interacting with the Algorand network.",Public,,$0,FALSE,FALSE,,,,,
algorand-javascript-sdk,Algorand,JavaScript SDK,"[""[Docs](https://algorand.github.io/js-algorand-sdk/)"",""[GitHub](https://github.com/algorand/js-algorand-sdk)""]",SDK,"JavaScript, TypeScript","[""Algorand"",""Transactions"",""Smart Contracts""]","Official JavaScript and TypeScript SDK for constructing and signing transactions and interacting with Algorand network APIs.",Public,,$0,FALSE,FALSE,,,,,
algorand-python-sdk,Algorand,Python SDK,"[""[Docs](https://py-algorand-sdk.readthedocs.io/en/latest/)"",""[GitHub](https://github.com/algorand/py-algorand-sdk)""]",SDK,Python,"[""Algorand"",""Transactions"",""Smart Contracts""]","Official Python SDK for constructing and signing transactions and interacting with Algorand network APIs.",Public,,$0,FALSE,FALSE,,,,,
alloy,Alloy,,"[""[Docs](https://alloy.rs/)"",""[GitHub](https://github.com/alloy-rs/alloy)""]",Library,Rust,"[""Ethereum"",""Rust"",""JSON-RPC"",""Smart contracts"",""Network abstraction""]","Modular Rust libraries for connecting to Ethereum-compatible blockchains through providers, signers, contract bindings, JSON-RPC types, and network abstractions.",Free,,$0,FALSE,FALSE,,,,,
ankr-sdk,Ankr,SDK,"[""[Docs](https://www.ankr.com/docs/advanced-api/javascript-sdk/)""]",SDK,JavaScript,"[""Ankr.js SDK"",""Ankr.py SDK"",""Advanced API""]","It offers compact libraries for querying RPC endpoints, fetching NFT/token data, transaction histories, and more via Ankr's global node infrastructure",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,MIT
anyalt,AnyAlt,,"[""[Website](https://www.anyalt.finance/)"",""[Docs](https://docs.anyalt.finance/sdk/overview)""]",SDK,TBD,"[""Cross-chain functionality"",""SDKs"",""APIs""]","Provides developers with an SDK and a pre-built widget to integrate cross-chain and last-mile transactions, including fiat-to-crypto on-ramps, into blockchain protocols and web3 projects",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
ape-framework,ApeWorx,,"[""[Docs](https://docs.apeworx.io/ape/stable/)"",""[GitHub](https://github.com/ApeWorX/ape)""]",Framework,Python,"[""Ethereum"",""Python"",""Smart contracts"",""Testing"",""Custom EVM networks""]","Python framework for compiling, testing, deploying, and interacting with smart contracts across Ethereum-compatible and custom EVM networks.",Public,,$0,FALSE,FALSE,,,,,
arbitrum-sdk,Arbitrum,SDK,"[""[GitHub](https://github.com/OffchainLabs/arbitrum-sdk)"",""[npm](https://www.npmjs.com/package/@arbitrum/sdk)""]",SDK,TypeScript,"[""Bridge SDK""]",TypeScript SDK for bridging assets and sending cross-chain messages on Arbitrum chains,Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
assembly-script,AssemblyScript,,"[""[Website](https://www.assemblyscript.org/introduction.html)""]",SDK,TBD,"[""WebAssembly"",""TypeScript"",""JavaScript""]",It offers a compiler and toolchain allowing developers to write high-performance code in a TypeScript-like language and compile it to WebAssembly,Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
avalanche-sdk-chainkit,Ava Labs,SDK ChainKit,"[""[Docs](https://developers.avacloud.io/avalanche-sdk/chainkit-sdk/getting-started)"",""[GitHub](https://github.com/ava-labs/avalanche-sdk-typescript)""]",SDK,TypeScript,"[""Avalanche"",""ChainKit"",""Glacier API"",""Metrics API""]",TypeScript SDK package for Avalanche Glacier Data and Metrics APIs with typed models and helper utilities,Free,,$0,FALSE,FALSE,,TBD,TBD,Ava Labs,BSD-3-Clause
